D24 Taxa de prevalência de excesso de peso
Percentual da população de 15 anos ou mais com sobrepeso, obesidade e excesso de peso, por sexo
Distrito Federal e 17 capitais brasileiras, 2002-2003 e 2004-2005
Capital;% Sobrepeso Masc;IC 95% Sobrepeso Masc;% Sobrepeso Fem;IC 95% sobrepeso Fem;% Sobrepeso Total;IC 95% sobrepeso tot;% Obesidade Masc;IC 95% Obesidade Masc;% Obesidade Fem;IC 95% Obesidade Fem;% Obesidade Total;IC 95% Obesidade tot;% Excesso peso Masc;IC 95% Excesso peso Masc;% Excesso peso Fem;IC 95% Excesso peso Fem;% Excesso peso Total;IC 95% Excesso peso tot
Vitória;34,8;(29,0-40,7);23,9;(19,9-28,0);29,3;(25,5-33,0);8,8(*);(6,0-11,7);7,6(*);(4,9-10,4);8,2;(6,2-10,2);43,7;(37,9-49,5);31,5;(26,7-36,4);37,5;(33,5-41,4)
Rio de Janeiro;39,1;(36,2-41,9);29,1;(26,6-31,7);33,5;(31,7-35,2);12,7;(10,6-14,8);13,1;(11,1-15,0);12,9;(11,3-14,5);51,8;(48,9-54,6);42,2;(39,5-44,8);46,4;(44,4-48,3)
São Paulo;33,6;(29,2-38,0);25,7;(22,0-29,4);29,4;(26,4-32,3);11,5;(8,6-14,4);11,8;(8,8-14,8);11,7;(9,5-13,8);45,1;(40,5-49,7);37,6;(33,4-41,7);41;(37,8-44,3)
Curitiba;35,1;(32,3-37,9);25,8;(23,1-28,6);30,1;(28,0-32,1);10,8;(8,4-13,2);10,5;(8,6-12,4);10,7;(9,1-12,2);45,9;(42,7-49,1);36,4;(33,0-39,7);40,7;(38,2-43,2)
Florianópolis;33,7;(28,6-38,8);23,2;(19,1-27,4);28;(24,4-31,6);10,0(*);(6,9-13,1);11,0(*);(8,0-14,1);10,6;(8,5-12,7);43,7;(38,3-49,2);34,3;(29,6-39,0);38,6;(34,7-42,5)
Porto Alegre;35,3;(32,1-38,5);27,2;(24,2-30,2);30,8;(28,5-33,1);12,3;(9,8-14,7);12,2;(9,9-14,6);12,2;(10,4-14,1);47,5;(43,8-51,2);39,5;(35,8-43,1);43,1;(40,4-45,8)
Campo Grande;26,9;(20,9-32,8);25,1;(19,2-31,0);25,9;(22,5-29,4);13,6(*);(9,5-17,7);8,8(*);(5,7-11,8);11;(8,4-13,7);40,5;(34,4-46,6);33,8;(27,7-39,9);37;(32,8-41,1)
Brasília;30;(27,2-32,7);21,4;(18,6-24,1);25,4;(23,5-27,3);8,8;(7,0-10,5);8,6;(6,6-10,6);8,7;(7,3-10,1);38,7;(35,4-42,1);30;(26,7-33,3);34,1;(31,8-36,4)
Fonte: Ministério da Saúde/SVS e Instituto Nacional do Câncer (INCA): Inquérito Domiciliar de Comportamentos de Risco de Morbidade Referida de Doenças e Agravos Não Transmissíveis.
Notas:
Informações de 2004-2005 para Palmas e São Luís e de 2002-2003 para demais capitais
Sobrepeso: 25 kg/m2 <= IMC < 30 kg/m2
Obesidade: IMC >= 30 kg/m2
Excesso de peso: IMC >= 25 kg/m2
"(*): O número de entrevistados classificados com sobrepeso, obesidade ou excesso de peso nesta capital e neste grupo é inferior a 50; portanto, recomenda-se cautela na interpretação dos resultados."
